net,length_um
_3201_,122.14
_0000_,121.68
_1130_,121.18
_3404_,121.18
_0734_,121.08
_1566_,120.94
_3585_,120.81
_3195_,120.72
_0783_,119.37
_2299_,119.35
_3452_,118.92
_0689_,118.68
_1131_,118.68
_0903_,118.36
_0122_,118.3
_0319_,118.28
_3605_,116.52
_0087_,116.42
_3451_,116.42
_1209_,116.31
_1295_,116.06
_0591_,115.68
_3511_,115.57
_0330_,115.05
_0127_,114.56
_1277_,114.2
_3144_,114.04
_1100_,113.95
_2197_,113.9
_3493_,112.35
net163,111.92
_0696_,111.68
_3265_,111.32
_1007_,111.09
_2024_,110.64
_2239_,110.18
_0559_,109.375
_3433_,109.12
_0105_,108.98
_1873_,108.92
_0104_,108.915
_2521_,108.4
net162,108.03
_3423_,107.76
_1931_,107.75
_3517_,107.66
_1712_,107.54
_3118_,107.51
_3572_,107.23
_2013_,107.14
_1952_,105.96
_1734_,105.9
_1122_,105.88
_1012_,105.84
_1863_,105.78
_0925_,105.17
_0584_,105.11
_2023_,105.1
net124,104.89
_0099_,104.69
_0583_,104.11
_2241_,103.56
_2095_,103.46
_0453_,102.86
_3270_,102.8
_0861_,102.7
_1187_,102.615
_0444_,102.26
net101,102.18
_0848_,102.11
_3119_,102
_3448_,101.76
_3410_,100.78
_3717_,100.66
_0942_,100.37
_1698_,99.54
_0189_,98.66
_0412_,98.62
_0212_,98.26
_1799_,97.78
_0866_,97.68
_0038_,97.55
_0018_,97.02
_2046_,96.65
_0936_,96.54
_0423_,96.265
_3608_,96.02
_3718_,95.815
_0641_,95.66
_2487_,95.18
_0219_,95
_3303_,94.82
_3503_,94.55
_0344_,93.94
_3449_,93.88
_3623_,93.3
_0052_,92.96
_0870_,92.74
_2802_,92.7
_1905_,92.61
_2693_,92.16
_2231_,91.995
_0420_,91.985
_0408_,91.94
_3210_,91.24
_1767_,90.78
_1668_,90.18
_3162_,90.06
_3356_,89.96
_1745_,89.89
_0326_,89.61
_1038_,89.5
_1893_,89.5
_1701_,89.49
net194,89.42
_0174_,89.25
_1376_,89.11
net111,89.04
_3439_,89.01
_0074_,88.68
_0510_,88.46
_2042_,88.44
_2073_,87.86
_1431_,87.84
_1072_,87.8
_3518_,87.74
_3401_,87.26
_1220_,87.18
_0450_,87.16
net189,87.12
_2012_,87.11
_1870_,86.37
net119,86.24
_0844_,86.21
_2986_,86.18
_1903_,85.52
_1418_,85.4
_0340_,85.36
_0238_,85.31
_0473_,84.62
_2610_,84.46
_0024_,84.4
_1911_,84.14
_3446_,83.8
_0750_,83.58
_0458_,83.36
_0814_,83.36
_0206_,83.08
_0720_,82.83
_0480_,82.8
_0867_,82.4
_3580_,81.91
_1596_,81.5
_0350_,81.48
_0244_,81.46
_1475_,81.4
_3615_,81.39
_2926_,81.3
net104,80.9
_3705_,80.64
_0325_,80.575
_0102_,80.54
_0662_,80.515
_2490_,80.18
_0201_,80.04
_0447_,79.73
_3169_,79.68
_2438_,79.58
_2442_,79.38
_0115_,79.34
_1607_,79.335
_3348_,78.76
_0191_,78.69
_0295_,78.38
_2436_,78.38
_0025_,78.2
_1910_,78.16
_3150_,78.04
_1696_,77.13
_3334_,77.11
_0874_,76.49
_3122_,76.34
_2054_,76.32
_0339_,76.2
_3065_,76.2
_0184_,76.06
_2271_,76.04
_1573_,75.315
_0873_,75.2
_2196_,75.08
_2357_,75.04
_0360_,74.96
_3527_,74.44
_3113_,74.23
_2605_,74.22
_1721_,73.84
_0975_,73.54
_0019_,73.52
_3155_,73.52
_0536_,73.495
_3127_,73.38
_0428_,73.295
_3019_,72.93
_0599_,72.6
_3068_,72.56
_3720_,72.46
_1713_,72.18
_1522_,72.14
_3146_,71.98
_0958_,71.935
_2765_,71.76
net95,71.76
_0452_,71.59
_2660_,71.52
_3295_,71.38
_1541_,71.19
_0459_,71.17
_0429_,70.98
_2322_,70.97
_2766_,70.86
_0279_,70.72
_3400_,70.62
_1210_,70.22
_1577_,69.5
_2603_,69.24
_0881_,68.66
_2192_,68.645
_0332_,68.58
_3508_,68.58
_0436_,68.42
_3171_,68.22
_3387_,68.21
_0481_,68.08
_1338_,67.94
_0914_,67.75
_3587_,67.56
_1871_,67.3
_2233_,67.11
_0885_,67.06
_0089_,67.02
_3487_,67.02
_0815_,66.98
_0030_,66.86
_3377_,66.59
_2611_,66.51
_0839_,66.47
_0664_,66.28
_1257_,66.06
_1661_,65.98
_1249_,65.96
_1477_,65.84
_2899_,65.48
_3521_,65.46
_2443_,65.42
_1766_,65.38
_2564_,65.32
_1207_,65.24
_2803_,65.06
net191,65.06
_2768_,65.03
_0032_,64.98
_3240_,64.98
_3482_,64.68
_1256_,64.6
_0703_,64.47
_1138_,64.45
_1071_,64.31
_0418_,64.14
_1217_,64.14
_0304_,64.025
_0537_,63.9
_3052_,63.7
_2055_,63.54
_0005_,63.3
_0230_,63.22
_3378_,63.03
_1739_,62.795
_2191_,62.38
_1144_,62.375
_1539_,62.36
_3416_,62.36
_3506_,62.14
_3473_,62.12
_2483_,62.05
_0123_,62.02
_3727_,61.98
_1322_,61.86
_1165_,61.825
_1129_,61.665
_0524_,61.64
_2010_,61.62
_0721_,61.6
_1683_,61.56
_3403_,61.5
_0680_,61.4
_3185_,60.86
_3296_,60.34
_1172_,60.26
_3069_,60.2
_1350_,60.14
_2819_,59.78
_3599_,59.74
_0646_,59.485
_0679_,59.16
_2319_,59
_3157_,58.95
_1125_,58.94
_1635_,58.895
_1681_,58.6
_0578_,58.58
_3642_,58.5
_3081_,58.495
_3472_,58.44
_2121_,58.06
_0190_,57.86
_0941_,57.72
_1419_,57.65
_3074_,57.4
_3071_,57.36
_0801_,57.135
_1154_,57
_2085_,56.98
net159,56.96
_1719_,56.94
_3629_,56.82
_0409_,56.62
_3234_,56.58
net85,56.56
_0313_,56.54
_0549_,56.44
_0187_,56.365
_1450_,56.34
_1128_,56.315
_0400_,56.235
_0754_,56.1
_0993_,55.94
_1124_,55.82
_1139_,55.54
_3229_,55.22
_2323_,55.02
_1930_,54.76
_1070_,54.68
_0994_,54.67
_3292_,54.61
_2185_,54.56
_0377_,54.52
_0312_,54.46
net178,54.26
_0764_,54.24
_0712_,54.19
_3158_,54.06
_2218_,53.96
_3497_,53.94
_1639_,53.79
_1684_,53.65
_3665_,53.61
_2485_,53.54
_3136_,53.54
_1498_,53.5
_2661_,53.5
_0929_,53.3
_3454_,53.3
_1202_,53.26
_3707_,53.24
_1482_,53
_1413_,52.9
_1514_,52.84
_0930_,52.795
_2878_,52.62
_2912_,52.56
_0605_,52.46
_1451_,52.46
_2164_,52.44
_2586_,52.38
_0611_,52.365
_3283_,52.36
_1574_,52.34
_2481_,52.14
_2187_,52.12
_0525_,52.06
_0049_,51.8
_2697_,51.78
_2071_,51.56
_3308_,51.54
_0878_,51.475
_0007_,51.395
_1657_,51.38
_1159_,51.18
_0253_,51.02
_0006_,50.9
_1119_,50.88
_1091_,50.8
_1500_,50.68
_3066_,50.64
_2902_,50.62
_3728_,50.52
_1120_,50.4
_2189_,50.38
_3546_,50.38
_0884_,50.32
_0433_,50.31
_1496_,50.29
_3427_,50.28
_3529_,50.24
_2080_,50.2
_1761_,50.16
_0647_,50.14
_1250_,50.08
_2369_,50.06
_1659_,49.88
_2839_,49.86
_3350_,49.66
net123,49.635
_1244_,49.44
_0494_,49.43
_0004_,49.405
_2672_,49.3
_2566_,49.06
_0735_,49
_0693_,48.94
_3681_,48.88
_1195_,48.78
_1184_,48.76
_2859_,48.7
_1263_,48.6
_3581_,48.6
_2883_,48.54
_2294_,48.5
_3455_,48.16
_3545_,48.14
_2022_,48.12
_3207_,48
_2163_,47.825
_3340_,47.64
_0294_,47.54
_3048_,47.52
_2086_,47.44
_1011_,47.42
_0065_,47.4
_0305_,47.4
_3233_,47.38
_1676_,47.32
_0397_,46.96
_3535_,46.86
_3056_,46.8
_1988_,46.72
_0188_,46.64
_1692_,46.56
_0351_,46.54
_0609_,46.5
_3256_,46.48
_3027_,46.14
_0153_,46.085
_0572_,46.04
_1678_,45.96
_2229_,45.96
_1176_,45.905
_2690_,45.9
_0173_,45.86
_3151_,45.86
_1292_,45.76
_1578_,45.76
_1352_,45.6
_1186_,45.51
_1375_,45.38
_1848_,45.36
_1638_,45.32
net87,45.3
_1346_,45.28
_3212_,45.06
_3500_,45.06
_3276_,45.04
_0493_,44.95
_3306_,44.92
_0322_,44.9
_0435_,44.9
_1631_,44.7
_3116_,44.54
_1968_,44.38
_0984_,44.28
_3108_,44.24
_1985_,44.22
_3664_,44.22
_3428_,44.12
_2973_,44.1
_1381_,44.08
_1472_,44.02
_1570_,43.9
_2569_,43.9
_1943_,43.8
_0797_,43.665
_2081_,43.62
_2932_,43.56
_2886_,43.5
_0003_,43.48
_0567_,43.48
_1233_,43.46
_1947_,43.4
_2370_,43.26
_0717_,43.165
_0396_,43.14
_0985_,43.125
_2238_,43.06
_2036_,43.04
_1245_,43
_2353_,42.98
_1439_,42.955
_2393_,42.92
_0845_,42.88
_0266_,42.82
_1513_,42.66
_1720_,42.66
_2970_,42.54
_2128_,42.52
_3098_,42.345
_0982_,42.34
_3001_,42.32
_2397_,42.01
_1924_,41.98
_2315_,41.96
_0983_,41.92
_1272_,41.76
_3721_,41.76
_2522_,41.66
_1408_,41.58
_0076_,41.47
_1196_,41.46
_2787_,41.28
_0979_,41.27
_2381_,41.24
_3437_,41.18
_1316_,41.14
_3732_,41.08
_0371_,40.88
_2449_,40.88
_2213_,40.8
_2758_,40.8
_3307_,40.8
_0135_,40.66
_3104_,40.62
_0171_,40.58
_3061_,40.52
_1240_,40.48
_3396_,40.46
_0280_,40.42
_2070_,40.3
_3148_,40.27
_0563_,40.17
_1735_,40.12
_2151_,40.1
_1402_,39.84
_2676_,39.84
_3315_,39.8
_0317_,39.72
_1083_,39.68
_1914_,39.68
_3154_,39.66
_0802_,39.58
_1501_,39.58
_0306_,39.5
_2448_,39.48
_3602_,39.46
_0981_,39.38
_3496_,39.36
_3407_,39.26
_0710_,39.24
_1297_,39.17
_1584_,39.15
_0900_,39.05
_3220_,39.03
_1843_,38.92
_1699_,38.88
_1199_,38.8
_2691_,38.8
_2118_,38.76
_2556_,38.72
_3450_,38.68
_3561_,38.58
_1054_,38.56
_0872_,38.5
_1047_,38.5
_3036_,38.44
_1215_,38.41
_0590_,38.36
_0858_,38.36
_2336_,38.3
_3141_,38.3
_1694_,38.26
_0271_,38.18
_1197_,38.16
_2328_,37.98
_1709_,37.91
_1953_,37.9
_1218_,37.82
_1782_,37.78
_1379_,37.75
_1680_,37.74
_2219_,37.72
_1193_,37.68
_1614_,37.66
_3029_,37.48
_0160_,37.46
_3715_,37.44
_3045_,37.34
_0946_,37.18
_0033_,37.16
_1642_,37.08
_0763_,37
_2523_,37
_0163_,36.96
_2232_,36.92
_1364_,36.9
_0066_,36.88
_0506_,36.86
_3702_,36.86
_0047_,36.82
_1126_,36.8
_1708_,36.7
_0446_,36.62
_0552_,36.6
_3562_,36.515
_0806_,36.5
_1563_,36.5
_3219_,36.46
_3649_,36.4
_1092_,36.34
_2190_,36.24
_2195_,36.24
_1449_,36.14
net143,36.14
_0895_,36.13
_0778_,36.08
_0272_,36.04
_1270_,36.04
_3223_,35.98
_0154_,35.88
_2152_,35.86
_1299_,35.72
_0715_,35.7
_0231_,35.66
_1740_,35.66
_2243_,35.64
_0542_,35.62
_3030_,35.52
_1267_,35.47
_1859_,35.38
_1792_,35.34
_0179_,35.14
_2398_,35.1
_1271_,34.94
_3132_,34.94
_3491_,34.92
_0826_,34.82
_2724_,34.82
_1414_,34.78
net116,34.78
_2074_,34.76
_1769_,34.725
_2562_,34.7
_0893_,34.68
_0829_,34.675
_1982_,34.64
_2280_,34.64
_1063_,34.56
_1424_,34.52
_1603_,34.46
_2961_,34.46
_2278_,34.44
_0273_,34.42
_2713_,34.42
_1246_,34.3
_2354_,34.3
_1637_,34.24
_3174_,34.24
_0557_,34.2
_2991_,34
net102,34
_2836_,33.93
_3262_,33.92
_0402_,33.78
_2373_,33.76
_0200_,33.72
_1754_,33.72
_0156_,33.66
_3225_,33.66
_0203_,33.64
_3723_,33.64
_2651_,33.62
_0430_,33.58
_1234_,33.56
_2563_,33.5
_3083_,33.44
_0501_,33.42
_1173_,33.42
_0073_,33.36
_1746_,33.32
_3674_,33.32
_2578_,33.28
_2794_,33.14
_3054_,33.14
_3302_,33.06
_0865_,32.98
_0363_,32.935
_2413_,32.93
_1254_,32.895
_3193_,32.86
_2975_,32.84
_1850_,32.8
_1239_,32.7
_0043_,32.68
_2027_,32.66
_3507_,32.66
_1363_,32.54
_0137_,32.52
_2949_,32.5
_0934_,32.48
_1247_,32.48
_0285_,32.44
_3130_,32.36
_2867_,32.34
_0497_,32.28
_2416_,32.24
_3259_,32.24
_3310_,32.22
_1829_,32.14
_3042_,32.14
_2806_,32.12
_3025_,32.06
_3697_,32.04
_1770_,32.01
_0628_,31.84
_0204_,31.82
_0807_,31.8
_3014_,31.74
_3026_,31.68
_0915_,31.6
_1155_,31.58
_3111_,31.58
_3095_,31.54
_2119_,31.45
_2395_,31.37
_1369_,31.32
_1628_,31.3
_1601_,31.29
_1417_,31.28
_1844_,31.24
_2911_,31.2
_3516_,31.2
_2172_,31.19
_0553_,31.16
_1837_,31.12
_2194_,31.12
_0364_,31.04
_1452_,31.04
_1928_,31.02
_2099_,31
_1545_,30.96
_2497_,30.93
_1969_,30.9
_1298_,30.895
_0828_,30.86
_2908_,30.79
_1020_,30.78
_3044_,30.78
_0748_,30.76
_3675_,30.74
_0576_,30.72
_0246_,30.7
_0392_,30.68
_1534_,30.66
_1836_,30.58
_3522_,30.52
_1074_,30.51
_2374_,30.44
_3115_,30.44
_2512_,30.42
_0974_,30.38
_1194_,30.38
_2245_,30.36
_1248_,30.32
_1488_,30.32
_2288_,30.28
_0782_,30.21
_1542_,30.2
_3032_,30.16
_3601_,30.16
_2056_,30.14
_0592_,30.13
_2553_,30
_1064_,29.96
_1397_,29.92
_2168_,29.9
_2845_,29.84
_1516_,29.82
_3381_,29.82
_1080_,29.74
_3290_,29.74
_0528_,29.72
_0759_,29.72
_2327_,29.62
_1790_,29.58
_1518_,29.54
_3688_,29.28
_1548_,29.22
_1409_,29.2
_1940_,29.12
_1562_,29.06
_2729_,28.98
_1540_,28.76
_3298_,28.74
_1580_,28.66
_1646_,28.66
_1726_,28.66
_2230_,28.66
_2418_,28.66
_3035_,28.62
_0904_,28.6
_3145_,28.52
net108,28.52
_3464_,28.5
_0374_,28.44
_2537_,28.44
_3202_,28.42
_0997_,28.4
_0148_,28.39
_0427_,28.38
_2742_,28.37
_1342_,28.36
_1752_,28.36
_2541_,28.32
_2113_,28.24
_0585_,28.2
_0255_,28.18
_1213_,28.17
_1032_,28.145
_2068_,28.1
_0422_,28.04
_3008_,28.02
_0820_,28
_0287_,27.99
_1907_,27.94
_2050_,27.86
_1556_,27.78
_0414_,27.74
_1655_,27.74
_1284_,27.665
_0170_,27.64
_3230_,27.64
_3253_,27.64
_2670_,27.63
_0449_,27.6
_2410_,27.6
_3501_,27.6
_1371_,27.58
_3076_,27.56
_0530_,27.54
_1592_,27.46
_3023_,27.44
_0586_,27.42
_1845_,27.4
_3224_,27.345
_0296_,27.34
_1632_,27.32
_3402_,27.3
_0067_,27.26
_0027_,27.22
_2638_,27
_0772_,26.98
_0365_,26.94
_3584_,26.94
_2669_,26.92
_0927_,26.9
_3559_,26.88
_2275_,26.84
_0642_,26.82
_0711_,26.74
_1583_,26.74
_0486_,26.72
_2493_,26.72
_2640_,26.7
_2279_,26.64
_2043_,26.62
_2723_,26.62
_0359_,26.6
_1598_,26.58
_1763_,26.56
_0761_,26.54
_0819_,26.52
_2292_,26.4
_2455_,26.4
_3421_,26.3
_0282_,26.28
_2261_,26.24
_3730_,26.14
_2631_,26.115
_1582_,26.1
_1396_,26.04
_2600_,26.01
_3672_,26.01
_1759_,25.96
_0289_,25.9
_2914_,25.895
_1626_,25.88
net193,25.88
_1691_,25.86
_3284_,25.84
_0150_,25.815
_0208_,25.8
_0671_,25.8
_0393_,25.78
_1511_,25.78
_2763_,25.78
_2491_,25.7
_1860_,25.665
_3138_,25.63
_3215_,25.62
_1378_,25.6
_3453_,25.58
_3476_,25.54
_3538_,25.5
_3539_,25.5
_0752_,25.48
_1811_,25.48
_1018_,25.465
_0177_,25.46
_1077_,25.46
_0608_,25.44
_2306_,25.43
_1121_,25.42
_2332_,25.36
_0315_,25.34
_2303_,25.32
_2011_,25.26
_0379_,25.24
_3668_,25.23
_2093_,25.2
_0468_,25.18
_0604_,25.14
_1093_,25.1
_0432_,25.06
_2511_,25.04
_1738_,25.02
_2131_,24.96
_2722_,24.92
_2871_,24.92
_1025_,24.9
_1330_,24.9
_0919_,24.88
_2995_,24.88
_0071_,24.85
_2498_,24.8
_1043_,24.78
_1970_,24.76
_2938_,24.76
_2112_,24.66
_2552_,24.66
_0519_,24.56
_1027_,24.56
_3274_,24.51
_3652_,24.5
_1385_,24.48
_0737_,24.44
_1531_,24.44
_3653_,24.44
_1689_,24.42
_2154_,24.42
_1990_,24.38
_2452_,24.38
_0439_,24.36
_0589_,24.36
